id,year,title,runtime,collection,genres,tagline,overview,cast,director,producer,keywords,adult,production_companies,spoken_languages,popularity,vote_count,vote_average
862,1995,Toy Story,81,Toy Story Collection,"['Animation', 'Adventure', 'Family', 'Comedy']",,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn']",['John Lasseter'],"['Bonnie Arnold', 'Ralph Guggenheim']","['martial arts', 'jealousy', 'friendship', 'bullying', 'elementary school', 'friends', 'rivalry', 'rescue', 'mission', 'buddy', 'walkie talkie', 'toy car', 'boy next door', 'new toy', 'neighborhood', 'toy comes to life', 'resourcefulness']",False,['Pixar'],['English'],113.49,16201,8
8844,1995,Jumanji,104,Jumanji Collection,"['Adventure', 'Fantasy', 'Family']",Roll the dice and unleash the excitement!,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","['Robin Williams', 'Kirsten Dunst', 'Bradley Pierce', 'Bonnie Hunt', 'Jonathan Hyde']",['Joe Johnston'],"['Scott Kroopf', 'William Teitler']","['giant insect', 'board game', 'jungle', 'disappearance', 'recluse', 'stampede', 'based on young adult novel']",False,"['TriStar Pictures', 'Teitler Film', 'Interscope Communications']","['English', 'French']",16.479,9364,7
15602,1995,Grumpier Old Men,101,Grumpy Old Men Collection,"['Romance', 'Comedy']",Still Yelling. Still Fighting. Still Ready for Love.,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.","['Walter Matthau', 'Jack Lemmon', 'Ann-Margret', 'Sophia Loren', 'Daryl Hannah']",['Howard Deutch'],"['John Davis', 'Richard C. Berman']","['fishing', 'halloween', 'sequel', 'old man', 'best friend', 'wedding', 'italian restaurant', 'old friends', 'duringcreditsstinger', 'pranks']",False,"['Warner Bros. Pictures', 'Lancaster Gate']",['English'],9.941,315,6
31357,1995,Waiting to Exhale,127,,"['Comedy', 'Drama', 'Romance']",Friends are the people who let you be yourself... and never let you forget it.,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.","['Whitney Houston', 'Angela Bassett', 'Loretta Devine', 'Lela Rochon', 'Gregory Hines']",['Forest Whitaker'],"['Ronald Bass', 'Ezra Swerdlow', 'Deborah Schindler', 'Caron K']","['based on novel or book', 'interracial relationship', 'single mother', 'divorce']",False,['20th Century Fox'],['English'],8.443,128,6
11862,1995,Father of the Bride Part II,106,Father of the Bride (Steve Martin) Collection,"['Comedy', 'Family']",Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.","['Steve Martin', 'Diane Keaton', 'Martin Short', 'Kimberly Williams-Paisley', 'George Newbern']",['Charles Shyer'],['Nancy Meyers'],"['parent child relationship', 'baby', 'midlife crisis', 'confidence', 'pregnancy', 'aging', 'daughter', 'sequel', 'remake', 'los angeles, california', 'contraception', 'gynecologist']",False,"['Sandollar Productions', 'Touchstone Pictures']",['English'],11.822,620,6
949,1995,Heat,170,Heat Collection,"['Action', 'Crime', 'Drama', 'Thriller']",A Los Angeles crime saga.,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight', 'Tom Sizemore']",['Michael Mann'],"['Michael Mann', 'Art Linson']","['robbery', 'detective', 'obsession', 'chase', 'thief', 'honor', 'murder', 'heist', 'betrayal', 'gang', 'los angeles, california', 'cat and mouse', 'bank robbery', 'criminal mastermind', 'cult film', 'ex-con', 'one last job', 'loner', 'bank job', 'neo-noir', 'crime epic']",False,"['Warner Bros. Pictures', 'New Regency Productions', 'Regency Enterprises', 'Forward Pass', 'Monarchy Enterprises B.V.', 'The Linson Company']","['English', 'Spanish']",71.24,5977,7
11860,1995,Sabrina,127,,"['Comedy', 'Romance']",You are cordially invited to the most surprising merger of the year.,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","['Harrison Ford', 'Julia Ormond', 'Greg Kinnear', 'Nancy Marchand', 'John Wood']",['Sydney Pollack'],"['Sydney Pollack', 'Scott Rudin']","['paris, france', 'sibling relationship', 'chauffeur', 'long island, new york', 'fusion', 'millionaire']",False,"['Paramount', 'Scott Rudin Productions', 'Mirage Enterprises', 'Sandollar Productions', 'Constellation Entertainment', 'Worldwide', 'Mont Blanc Entertainment GmbH']","['French', 'English']",13.914,516,6
45325,1995,Tom and Huck,97,,"['Family', 'Action', 'Adventure', 'Drama']",The Original Bad Boys.,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.","['Jonathan Taylor Thomas', 'Brad Renfro', 'Rachael Leigh Cook', 'Michael McShane', 'Amy Wright']",['Peter Hewitt'],"['Laurence Mark', 'John Baldecchi']","['mississippi river', 'based on novel or book', 'male friendship']",False,"['Walt Disney Pictures', 'Painted Fence Productions']",['English'],11.028,151,5
9091,1995,Sudden Death,106,,['Action'],Terror goes into overtime.,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,"['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry', 'Whittni Wright', 'Ross Malinger']",['Peter Hyams'],"['Howard Baldwin', 'Moshe Diamant']","['terrorist', 'hostage', 'explosive', 'ice hockey', 'vice president', 'pittsburgh, pennsylvania', 'pittsburgh penguins']",False,"['Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment', 'SHATTERED PRODUCTIONS']",['English'],13.951,586,5
710,1995,GoldenEye,130,James Bond Collection,"['Adventure', 'Action', 'Thriller']",No limits. No fears. No substitutes.,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon","['Pierce Brosnan', 'Izabella Scorupco', 'Famke Janssen', 'Sean Bean', 'Joe Don Baker']",['Martin Campbell'],"['Barbara Broccoli', 'Anthony Waye', 'Michael G. Wilson']","['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg, russia', 'red army']",False,"['United Artists', 'Eon Productions']","['English', 'Russian', 'Spanish']",24.986,3306,6
